,pKd,vina,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,delta
2tpi,4.309803919971486,4.9535440311,-11.6317064247,-0.1436246769,6.5,16.0,5.5,7.0,-0.0260535648,-5.1426230833,6.0,-64.9220580833,51.364,56.6051,2.7909,12.6102,108.3479,0.0,295.1463,91.3437,0.0,618.2081,-0.6437401111285137
4tln,3.7212463990471716,1.5462922737,-4.8263935396,-0.1980863094,4.0,10.0,4.0,4.0,-0.0570288475,-6.381363,4.0,-56.71935872939999,25.6881,13.4966,33.1568,27.4192,79.2631,21.8945,199.6687,44.8142,0.0,445.4012,2.1749541253471714
1rnt,5.187086643357143,3.3988679667,-37.5843283309,-0.748526545,5.5,24.0,5.5,0.0,-0.1980643047,-6.4584821386,4.0,-111.41306013,2.2214,112.2404,66.6409,21.3581,160.5736,151.907,15.6774,47.2889,0.0,577.9077,1.7882186766571433
4ts1,4.935542010773082,2.9357643854,-17.686130927,-0.8425086187,4.0,13.0,4.0,6.0,-0.1658127494,-3.5893626546,4.0,-54.3271911179,36.1036,65.1529,60.4624,16.953,52.8195,116.804,60.2354,48.337,0.0,456.8678,1.9997776253730817
2tmn,5.886056647693162,2.4029719192,-18.261260436,-1.1077606074,5.0,13.0,4.0,4.0,-0.2558339771,-5.7218528014,4.0,-76.2759771752,12.8315,109.5673,15.1674,36.5542,87.199,31.5739,209.3977,23.2655,0.0,525.5565,3.483084728493162
1tlp,7.552841968657781,3.745493336000001,-29.9072039016,-1.2585148071,12.5,37.0,10.5,12.0,-0.2893838097,-5.6135603378,10.0,-117.17916438399999,15.9558,89.0025,43.8695,57.2805,110.3651,142.2298,297.213,83.9091,0.0,839.8253,3.8073486326577797
1tmn,7.301029995663981,4.948138209800001,-20.7483636582,-0.8872515087,13.0,35.0,10.0,19.0,-0.1986217571,-6.7051328209,10.0,-94.67535377819999,29.4345,78.9653,20.8233,54.4648,96.5888,198.5078,314.7757,47.8143,0.0,841.3745,2.3528917858639806
1rbp,6.721246399047171,6.6669766711000005,12.3315732431,-0.0938207059,5.5,21.0,5.5,19.0,-0.0108043077,-0.7160256031000001,10.0,-3.356303542,0.0,0.0,29.5213,0.0,0.0,0.0,459.7661,38.1865,0.0,527.4739,0.054269727947170665
1fkf,9.397940008672037,8.8420825869,-3.8587221873,-0.1853969324,8.5,57.0,8.5,27.0,-0.048483689,-5.3806259185,6.0,-81.2948311559,17.83,14.859000000000002,107.8888,5.974,245.188,127.4593,426.7776,246.553,0.0,1192.5297,0.5558574217720373
4er1,6.616184634019568,6.922825317999999,-16.1289243221,-0.7004902849,21.5,60.0,17.5,41.0,-0.1558226156,-6.3679694726,18.0,-88.0989851268,0.0,55.3734,53.1551,45.1739,173.6654,363.9084,429.9222,125.6506,0.0,1246.849,-0.3066406839804312
5er2,6.568636235841013,6.4028909315,-23.044444079699996,-0.7565142511,29.0,68.0,24.0,31.0,-0.1822429254,-10.0060065236,18.0,-136.819085289,32.951,75.9217,60.8209,56.0174,357.1255,296.9042,678.6469,200.4756,0.0,1758.8632,0.1657453043410131
4er2,9.30102999566398,5.428156070499999,-16.4548285989,-0.8257777118,23.0,48.0,19.0,21.0,-0.1992378887,-8.4712593825,18.0,-115.973020762,0.0,78.33,87.4948,36.2467,273.1518,78.3314,653.5846,134.1418,0.0,1341.2811,3.8728739251639803
2ypi,4.823908740944318,1.6088956452,-30.960341508699997,-1.4778283171000002,3.0,9.0,3.0,0.0,-0.3015010645,-4.4220865167,4.0,-77.02734966140001,0.0,150.7769,0.0,34.8998,26.3115,2.0699,30.6606,112.7074,0.0,357.4261,3.2150130957443177
6cpa,11.522878745280336,5.1772071368,-32.2930855038,-1.5312410588999998,12.0,33.0,11.0,15.0,-0.3361437972,-7.8555532067,12.0,-99.69501459790001,35.4047,116.5254,69.0937,26.3875,105.0252,295.0715,180.8442,79.0804,0.0,907.4326,6.345671608480336
4sga,7.301029995663981,5.4621973414,-21.5907622534,-0.4843601215,8.0,34.0,7.0,13.0,-0.1079843978,-4.9582750416,8.0,-92.656583921,0.0,55.6572,17.4416,26.3649,215.3139,170.533,221.9523,157.0586,0.0,864.3215,1.8388326542639817
5er1,6.017728766960431,4.3822506748,-8.9389106018,0.1113144424,18.0,37.0,15.0,18.0,-0.0022591492000000003,-5.1665495271,14.0,-65.5619840989,36.2026,39.6367,47.732,18.0459,161.2458,108.5657,422.11800000000005,188.5692,0.0,1022.1159,1.6354780921604313
4tim,2.1611509092627452,1.0445484392,-32.6534051314,-1.4661364865000002,4.5,11.0,3.5,0.0,-0.2936967309,-5.2143950798,4.0,-94.87641805700001,5.4058,146.8461,21.4931,19.6229,31.2019,0.0084,23.6441,105.1143,0.0,353.3366,1.1166024700627453
1igj,10.0,6.0970476062,-5.7062881436,-0.17799601829999998,5.0,37.0,5.0,20.0,-0.0275132099,-0.7543284509,6.0,-43.3541147038,0.0,0.0,77.461,20.7423,36.8043,101.9246,298.6911,129.5335,0.0,665.1568,3.9029523937999997
1fkb,9.69897000433602,8.368717480499999,-0.1873553507,-0.2531787433,7.5,65.0,7.5,33.0,-0.0657867181,-4.411135511,8.0,-71.93225673010001,2.8241,10.1514,97.4552,4.0614,337.5254,109.1514,454.01,160.8116,0.0,1175.9905,1.3302525238360214
1l83,3.397940008672037,3.5854824925,3.0226536108,-0.0,0.0,6.0,0.0,6.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,202.1746,0.0,0.0,0.0,202.1746,-0.18754248382796312
1atr,6.9586073148417755,6.4810296212,-60.0281761288,-2.3291168111,7.5,27.0,7.5,0.0,-0.4288569332,-11.6583981258,10.0,-207.05398748,36.7812,172.8773,107.605,18.8339,151.6763,63.0799,42.2659,234.3645,0.0,827.4839999999998,0.47757769364177527
6rnt,2.3665315444204134,3.3795698448,-27.901240779800002,-0.8701025125,5.5,23.0,5.5,0.0,-0.2158881117,-6.6017180658,4.0,-113.833122367,10.6134,89.851,89.0095,17.065,148.9809,61.1875,28.1612,73.6367,0.0,518.5052,-1.0130383003795864
3gst,6.721246399047171,6.9465903939999984,-17.4042800596,-0.8307067645999999,12.0,35.0,11.0,14.0,-0.1675877952,-10.9350596274,10.0,-126.564499004,47.5437,107.9881,41.9289,42.1712,234.9398,257.962,130.6995,184.5461,0.0,1047.7793,-0.2253439949528273
1cps,6.657577319177793,3.9431908957,-14.4829654272,-0.6623634747,6.0,16.0,5.0,8.0,-0.1392824161,-5.5778467097,6.0,-50.4939870477,40.131,70.7368,87.9758,29.7452,38.4898,184.1894,109.5071,88.3616,0.0,649.1367,2.7143864234777935
2gst,6.070581074285707,6.7622276825,-17.1558396617,-0.8898627331,12.0,35.0,11.0,14.0,-0.1760816094,-10.4814107322,10.0,-125.07999592799999,45.6952,106.8541,58.0704,43.8078,228.58900000000003,270.2584,115.2391,194.6577,0.0,1063.1717,-0.6916466082142927
1ppm,5.795880017344076,6.1634944653,-26.9791118216,-1.3652962813,17.0,42.0,15.0,19.0,-0.32889691600000004,-5.5885263241,14.0,-113.286848354,0.0,89.1431,38.2417,49.6326,220.3054,260.718,354.551,180.3267,0.0,1192.9185,-0.36761444795592446
1hos,8.55284196865778,5.8376782073,-27.004131165500002,-0.9570650869,20.0,55.0,16.0,32.0,-0.2497093356,-3.1191075458,14.0,-93.92582235190001,21.7137,74.6975,2.4761,38.9118,206.984,290.4399,537.2662,143.297,0.0,1315.7862,2.715163761357781
1ppl,8.55284196865778,6.026317165499999,-21.1424531654,-1.3290252008,18.0,42.0,14.0,21.0,-0.3275986387,-5.1338578778,12.0,-102.73337956399999,0.0,109.4134,38.0858,65.4682,191.427,179.8758,544.4377,139.1933,0.0,1267.9012,2.5265248031577814
1bcd,8.698970004336019,2.6521311373,-10.2370338689,-0.28310513530000003,1.5,8.0,1.5,3.0,-0.0559579521,-2.0078335213,2.0,-41.3167655449,0.0,0.0,9.8787,5.0068,16.8653,28.2152,37.217,90.6447,84.1031,271.9308,6.046838867036019
1ivp,7.522878745280337,5.0545602739,-25.8578183237,-0.6790797118,21.5,59.0,17.5,28.0,-0.1720180748,-4.8578235861,16.0,-129.98710270700002,44.7833,53.6269,21.9466,45.4382,306.247,268.8562,706.5452,151.7522,0.0,1599.1956,2.4683184713803374
1trd,5.3979400086720375,2.2195920843,-23.4960171982,-1.112924377,3.5,10.0,3.5,0.0,-0.2204504195,-6.6210601971,6.0,-83.2311347324,8.8231,101.7202,32.8239,49.1306,53.6945,0.0,18.6397,89.8223,0.0,354.6543,3.1783479243720376
1hsl,7.1938200260161125,4.3701774294,-21.1246073537,-0.6482144526,3.5,11.0,3.5,1.0,-0.1101775329,-6.315422249,4.0,-74.4924155563,36.2217,54.6201,0.0,22.704,15.2624,72.8274,31.542,26.6447,0.0,259.8223,2.8236425966161125
